,Name,SMILES
0,bc0c00295&A75,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCN(CC)CC)CO2)c(OC)c1
1,bc0c00295&A76,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCN3CCCC3)CO2)c(OC)c1
2,bc0c00295&A77,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCC3CCCN3C)CO2)c(OC)c1
3,bc0c00295&A78,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCN(C)C)CO2)c(OC)c1
4,bc0c00295&A80,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCCN(C)C)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
5,bc0c00295&A81,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCCN(CC)CC)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
6,bc0c00295&A82,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCN3CCCCC3)CO2)c(OC)c1
7,bc0c00295&A93,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCCn3ccnc3)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
8,bc0c00295&A113,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCN(C)CCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
9,bc0c00295&A306,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
10,bc0c00295&A400,CCCCCCOc1cc(OC)c(C2OCC(C)(COC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CCC(=O)OCC3(C)COC(c4c(OC)cc(OCCCCCC)cc4OC)OC3)CO2)c(OC)c1
